# time[BJD] normflux normfluxerr
2458216.471464 0.974498 0.014911
2458216.472123 0.966939 0.013668
2458216.472781 0.983937 0.012851
2458216.473555 0.996998 0.011868
2458216.474302 0.949126 0.010328
2458216.474960 0.956470 0.009628
2458216.475709 0.965588 0.008911
2458216.476368 0.957476 0.008198
2458216.477029 0.968971 0.007714
2458216.477689 0.972090 0.007215
2458216.478438 0.977820 0.006726
2458216.479099 0.968379 0.006251
2458216.479757 0.983058 0.005984
2458216.480417 0.972584 0.005607
2458216.481168 0.982626 0.005356
2458216.481825 0.974952 0.005088
2458216.482484 0.984907 0.004947
2458216.483143 0.985215 0.004793
2458216.483802 0.984969 0.004674
2458216.484461 0.988033 0.004583
2458216.485121 0.979652 0.004456
2458216.485869 0.986014 0.004404
2458216.486528 0.980565 0.004332
2458216.487186 0.983205 0.004293
2458216.487847 0.991709 0.004283
2458216.488597 0.987642 0.004224
2458216.489255 0.980953 0.004167
2458216.489914 0.982913 0.004150
2458216.490575 0.980412 0.004120
2458216.491234 0.981728 0.004106
2458216.491893 0.978147 0.004070
2458216.492641 0.987728 0.004090
2458216.493301 0.980651 0.004051
2458216.493960 0.986624 0.004057
2458216.494619 0.983417 0.004040
2458216.495279 0.985018 0.004051
2458216.495941 0.983856 0.004038
2458216.496600 0.983908 0.004040
2458216.497260 0.983358 0.004029
2458216.497919 0.986033 0.004034
2458216.498578 0.989757 0.004038
2458216.499345 0.985388 0.003996
2458216.500004 0.981631 0.003969
2458216.500663 0.983013 0.003980
2458216.501324 0.985850 0.003998
2458216.501984 0.985205 0.004006
2458216.502735 0.978721 0.003992
2458216.503390 0.980901 0.003996
2458216.504049 0.986000 0.004005
2458216.504708 0.988651 0.004006
2458216.505369 0.988475 0.003994
2458216.506121 0.985230 0.003976
2458216.506784 0.994116 0.004013
2458216.507447 0.986946 0.003988
2458216.508201 0.983555 0.003974
2458216.508865 0.986706 0.003983
2458216.509527 0.990117 0.003997
2458216.510190 0.981129 0.003956
2458216.510853 0.986803 0.003977
2458216.511511 0.988726 0.003977
2458216.512265 0.990778 0.003989
2458216.512932 0.982262 0.003952
2458216.513596 0.987870 0.003978
2458216.514260 0.989294 0.003987
2458216.514920 0.992361 0.003995
2458216.515584 0.981830 0.003938
2458216.516241 0.991317 0.003965
2458216.516901 0.991023 0.003956
2458216.517563 0.991427 0.003956
2458216.518227 0.991029 0.003950
2458216.518888 0.996170 0.003981
2458216.519551 0.985809 0.003941
2458216.520304 0.989728 0.003956
2458216.520966 0.988736 0.003968
2458216.521627 0.993220 0.003977
2458216.522291 0.989105 0.003956
2458216.522953 0.985279 0.003932
2458216.523614 0.984430 0.003921
2458216.524275 0.992910 0.003965
2458216.524939 0.993325 0.003968
2458216.525604 0.995891 0.003979
2458216.526266 0.993898 0.003962
2458216.526932 0.992618 0.003931
2458216.527597 0.996991 0.003938
2458216.528258 0.995616 0.003929
2458216.528911 1.000224 0.003951
2458216.529574 0.990807 0.003927
2458216.530233 0.994230 0.003946
2458216.530897 0.992898 0.003942
2458216.531676 0.999294 0.003979
2458216.532339 1.001770 0.003983
2458216.532999 0.998237 0.003956
2458216.533662 1.000219 0.003955
2458216.534324 0.995350 0.003935
2458216.534985 1.002198 0.003960
2458216.535648 1.004621 0.003974
2458216.536310 1.001469 0.003963
2458216.536972 1.001736 0.003967
2458216.537632 1.000030 0.003960
2458216.538295 1.005289 0.003988
2458216.538959 1.010956 0.004017
2458216.539620 1.004181 0.003999
2458216.540283 1.004742 0.004014
2458216.540945 1.003683 0.004023
2458216.541612 1.005127 0.004027
2458216.542277 1.004491 0.004031
2458216.542939 1.007312 0.004055
2458216.543602 1.012125 0.004085
2458216.544268 1.007407 0.004044
2458216.544919 1.004983 0.004028
2458216.545582 1.007344 0.004031
2458216.546242 1.006098 0.004020
2458216.546905 1.010144 0.004030
2458216.547561 1.004372 0.004016
2458216.548214 1.015121 0.004070
2458216.548989 1.012171 0.004073
2458216.549641 1.008995 0.004067
2458216.550301 1.026883 0.004147
2458216.550954 1.003451 0.004056
2458216.551616 1.011303 0.004063
2458216.552279 1.009667 0.004026
2458216.553029 1.008199 0.003994
2458216.553691 1.016233 0.004022
2458216.554354 1.012142 0.004009
2458216.555017 1.019804 0.004051
2458216.555680 1.008003 0.004020
2458216.556339 1.013903 0.004043
2458216.557001 1.011123 0.004026
2458216.557665 1.014421 0.004031
2458216.558332 1.017440 0.004051
2458216.558993 1.023326 0.004070
2458216.559659 1.015762 0.004017
2458216.560323 1.022674 0.004056
2458216.560985 1.017491 0.004040
2458216.561646 1.018126 0.004025
2458216.562310 1.026293 0.004031
2458216.562974 1.022420 0.003983
2458216.563635 1.023415 0.003976
2458216.564297 1.027616 0.003992
2458216.564959 1.022544 0.004000
2458216.565623 1.027243 0.004045
2458216.566284 1.024098 0.004041
2458216.566949 1.026543 0.004042
2458216.567611 1.029359 0.004032
2458216.568274 1.017064 0.003970
2458216.568937 1.023776 0.003980
2458216.569600 1.026107 0.003986
2458216.570262 1.026603 0.004009
2458216.570916 1.055830 0.004148
2458216.571579 1.016664 0.004015
2458216.572242 1.022117 0.004045
2458216.572905 1.022141 0.004035
2458216.573566 1.009391 0.003969
2458216.574230 1.025936 0.004030
2458216.574892 1.027784 0.004044
2458216.575552 1.021692 0.004031
2458216.576215 1.023641 0.004036
2458216.576875 1.021199 0.004045
2458216.577537 1.023710 0.004061
2458216.578291 1.027366 0.004083
2458216.578951 1.024790 0.004054
2458216.579613 1.025932 0.004056
2458216.580273 1.023407 0.004046
2458216.580936 1.023592 0.004044
2458216.581687 1.024634 0.004041
2458216.582349 1.023332 0.004029
2458216.583012 1.023810 0.004035
2458216.583673 1.021622 0.004018
2458216.584334 1.025870 0.004039
2458216.584997 1.026937 0.004026
2458216.585660 1.024131 0.004013
2458216.586321 1.027016 0.004028
2458216.586984 1.022790 0.004015
2458216.587645 1.027291 0.004041
2458216.588307 1.025666 0.004042
2458216.588969 1.020955 0.004025
2458216.589637 1.021636 0.004022
2458216.590299 1.023005 0.004018
2458216.590953 1.018418 0.003990
2458216.591618 1.013129 0.003962
2458216.592281 1.018132 0.004001
2458216.592943 1.026068 0.004028
2458216.593606 1.012935 0.003967
2458216.594268 1.009730 0.003942
2458216.594931 1.017477 0.003964
2458216.595593 1.014799 0.003948
2458216.596255 1.021179 0.003952
2458216.596918 1.021930 0.003968
2458216.597581 1.020179 0.003981
2458216.598244 1.028802 0.003998
2458216.598905 1.024399 0.003970
2458216.599567 1.023261 0.003965
2458216.600231 1.019914 0.003939
2458216.600893 1.024400 0.003955
2458216.601553 1.027055 0.003989
2458216.602216 1.021692 0.003975
2458216.602879 1.023269 0.003996
2458216.603546 1.024425 0.004021
2458216.604206 1.025289 0.004022
2458216.604867 1.025509 0.004034
2458216.605532 1.028898 0.004049
2458216.606196 1.025718 0.004030
2458216.606855 1.020110 0.003991
2458216.607519 1.027024 0.004028
2458216.608182 1.025156 0.004012
2458216.608844 1.021459 0.003995
2458216.609506 1.020927 0.003982
2458216.610165 1.019786 0.003975
2458216.610827 1.018869 0.003978
2458216.611490 1.022511 0.004005
2458216.612154 1.011992 0.003951
2458216.612819 1.008210 0.003933
2458216.613479 1.019609 0.004004
2458216.614144 1.016531 0.004007
2458216.614805 1.018591 0.004020
2458216.615469 1.015669 0.004005
2458216.616249 1.020875 0.004009
2458216.616909 1.014549 0.003975
2458216.617568 1.017941 0.003964
2458216.618229 1.019621 0.003960
2458216.618890 1.017862 0.003953
2458216.619552 1.020500 0.003983
2458216.620215 1.021090 0.003997
2458216.620881 1.007866 0.003926
2458216.621542 1.013411 0.003933
2458216.622203 1.022519 0.003976
2458216.622867 1.015612 0.003966
2458216.623531 1.021617 0.004005
2458216.624189 1.012409 0.003975
2458216.624852 1.013815 0.003966
2458216.625515 1.011061 0.003984
2458216.626176 1.010562 0.003981
2458216.626838 1.016590 0.004004
2458216.627499 1.015265 0.003983
2458216.628170 1.007859 0.003953
2458216.628924 1.011315 0.003955
2458216.629675 1.001804 0.003891
2458216.630338 1.010257 0.003927
2458216.631002 1.007740 0.003927
2458216.631666 1.004421 0.003924
2458216.632327 1.002593 0.003904
2458216.632991 1.009241 0.003942
2458216.633654 1.013014 0.003994
2458216.634315 1.005624 0.003948
2458216.634976 1.008180 0.003942
2458216.635638 1.006533 0.003931
2458216.636299 1.005817 0.003894
2458216.636962 0.968069 0.003725
2458216.637615 0.989779 0.003806
2458216.638263 0.999027 0.003832
2458216.638925 1.001006 0.003833
2458216.639587 1.004925 0.003826
2458216.640253 1.003643 0.003812
2458216.641030 1.003338 0.003825
2458216.641691 1.009963 0.003888
2458216.642353 1.004334 0.003908
2458216.643017 0.998425 0.003875
2458216.643682 1.009165 0.003899
2458216.644347 1.006496 0.003869
2458216.645011 1.008323 0.003885
2458216.645675 1.008815 0.003893
2458216.646327 1.001650 0.003841
2458216.646988 0.999476 0.003790
2458216.647654 0.991240 0.003729
2458216.648433 1.006570 0.003830
2458216.649210 0.998357 0.003827
2458216.649872 1.003825 0.003850
2458216.650534 0.989849 0.003799
2458216.651200 0.997836 0.003845
2458216.651859 0.998706 0.003850
2458216.652522 1.003550 0.003867
2458216.653184 1.002079 0.003863
2458216.653845 0.996793 0.003844
2458216.654509 1.002271 0.003882
2458216.655175 0.993234 0.003874
2458216.655839 0.997793 0.003909
2458216.656501 0.989265 0.003872
2458216.657163 0.990123 0.003877
2458216.657827 1.005122 0.003926
2458216.658488 1.003279 0.003912
2458216.659152 1.008056 0.003931
2458216.659814 1.004762 0.003914
2458216.660466 0.999272 0.003893
2458216.661220 1.004993 0.003910
2458216.661882 0.996699 0.003863
2458216.662547 1.007357 0.003898
2458216.663209 0.998648 0.003882
2458216.663954 1.002169 0.003889
2458216.664616 1.001076 0.003874
2458216.665274 1.005202 0.003880
2458216.665935 1.000793 0.003849
2458216.666600 1.003068 0.003836
2458216.667264 0.997879 0.003812
2458216.667927 1.003318 0.003826
2458216.668590 1.005254 0.003833
2458216.669243 1.004540 0.003827
2458216.669905 0.999635 0.003806
2458216.670567 1.000228 0.003820
2458216.671219 1.002374 0.003841
2458216.671881 1.006136 0.003863
2458216.672542 0.999685 0.003849
2458216.673195 0.996354 0.003848
2458216.673859 1.002618 0.003883
2458216.674519 0.997950 0.003883
2458216.675181 1.010928 0.003934
2458216.675843 1.000000 0.003900
2458216.676507 0.999503 0.003924
2458216.677169 0.999250 0.003929
2458216.677944 1.003238 0.003957
2458216.678608 1.003073 0.003948
2458216.679271 1.003992 0.003947
2458216.679937 0.996234 0.003925
2458216.680599 1.004694 0.003962
2458216.681262 0.995967 0.003935
2458216.681924 0.999972 0.003960
2458216.682586 1.002403 0.003983
2458216.683246 1.005006 0.004013
2458216.683911 1.002389 0.004005
2458216.684573 0.997746 0.003992
2458216.685344 1.005957 0.004047
2458216.686008 0.999732 0.004030
2458216.686760 0.998021 0.004038
2458216.687425 0.999968 0.004052
2458216.688087 0.999192 0.004047
2458216.688750 0.994480 0.004050
2458216.689411 0.995222 0.004062
2458216.690185 0.994848 0.004061
2458216.690847 0.993941 0.004070
2458216.691510 0.999798 0.004101
2458216.692173 1.001112 0.004111
2458216.692839 0.998142 0.004107
2458216.693504 0.998075 0.004111
2458216.694166 0.997478 0.004104
2458216.694829 0.994610 0.004101
2458216.695491 0.989156 0.004081
2458216.696152 0.997444 0.004111
2458216.696815 0.997288 0.004118
2458216.697583 1.003946 0.004162
2458216.698247 0.986150 0.004089
2458216.698900 0.995190 0.004125
2458216.699563 0.991219 0.004103
2458216.700226 0.992329 0.004118
2458216.700887 0.991270 0.004131
2458216.701544 0.991047 0.004137
2458216.702205 0.994430 0.004164
2458216.702869 0.992898 0.004164
2458216.703530 0.992154 0.004169
2458216.704193 0.992858 0.004182
2458216.704858 0.985972 0.004157
2458216.705519 0.988404 0.004171
2458216.706184 0.992986 0.004212
2458216.706849 0.995621 0.004242
2458216.707625 0.983804 0.004191
2458216.708287 0.991027 0.004224
2458216.708952 0.999332 0.004271
2458216.709615 0.993823 0.004260
2458216.710280 0.987328 0.004248
2458216.710947 0.989529 0.004267
2458216.711613 0.988998 0.004283
2458216.712275 0.990761 0.004298
2458216.712938 0.993417 0.004311
2458216.713602 0.993375 0.004311
2458216.714260 0.997270 0.004331
2458216.714920 0.992491 0.004313
2458216.715698 0.995950 0.004346
2458216.716358 0.996111 0.004379
2458216.717020 0.994636 0.004391
2458216.717684 1.000005 0.004434
2458216.718348 0.994632 0.004425
2458216.719012 0.991234 0.004409
2458216.719675 0.987380 0.004392
2458216.720336 0.988640 0.004397
2458216.721000 0.993391 0.004421
2458216.721748 0.987533 0.004423
2458216.722411 0.993066 0.004470
2458216.723075 0.994191 0.004486
2458216.723739 0.994237 0.004498
2458216.724400 0.994392 0.004514
2458216.725063 0.991219 0.004510
2458216.725717 0.990875 0.004520
2458216.726381 0.997808 0.004573
2458216.727042 0.995177 0.004576
2458216.727817 0.995279 0.004595
2458216.728472 0.991042 0.004595
2458216.729134 0.992426 0.004624
2458216.729800 0.994530 0.004658
2458216.730465 0.994800 0.004677
2458216.731128 0.992249 0.004685
2458216.731786 0.992209 0.004708
2458216.732448 0.986182 0.004698
2458216.733111 0.998007 0.004770
2458216.733774 0.998529 0.004786
2458216.734439 0.999068 0.004814
2458216.735100 0.999445 0.004829
2458216.735767 0.999135 0.004860
2458216.736428 0.995691 0.004873
2458216.737090 0.994549 0.004889
2458216.737753 0.996830 0.004920
2458216.738415 0.996560 0.004935
2458216.739078 0.999390 0.004969
2458216.739828 0.991525 0.004951
2458216.740491 0.987167 0.004962
2458216.741143 0.999302 0.005059
2458216.741806 0.998216 0.005089
2458216.742472 1.002649 0.005143
2458216.743137 0.997777 0.005144
2458216.743787 0.999536 0.005178
2458216.744448 1.009985 0.005266
