# time[BJD] normflux normfluxerr quarter
2454964.512326 1.002014 0.000347 1
2454964.532760 1.002219 0.000347 1
2454964.553195 1.001552 0.000347 1
2454964.573629 1.002058 0.000347 1
2454964.594064 1.001326 0.000347 1
2454964.614498 1.002061 0.000347 1
2454964.634933 1.001598 0.000347 1
2454964.655367 1.001126 0.000347 1
2454964.675802 1.001786 0.000347 1
2454964.696236 1.000741 0.000347 1
2454964.716671 1.001246 0.000347 1
2454964.737105 1.000854 0.000347 1
2454964.757540 1.001595 0.000347 1
2454964.777974 1.001270 0.000347 1
2454964.798409 1.000844 0.000347 1
2454964.818843 1.001191 0.000347 1
2454964.839278 1.000365 0.000347 1
2454964.859712 1.000910 0.000347 1
2454964.880147 1.001096 0.000347 1
2454964.900581 1.001743 0.000347 1
2454964.921016 1.000162 0.000347 1
2454964.941450 1.000628 0.000347 1
2454964.961885 1.000594 0.000347 1
2454964.982319 1.000568 0.000347 1
2454965.002754 1.000143 0.000347 1
2454965.023188 1.000437 0.000347 1
2454965.043623 1.000620 0.000347 1
2454965.064057 1.000921 0.000347 1
2454965.084492 1.000256 0.000347 1
2454965.104926 1.001320 0.000347 1
2454965.125361 1.000211 0.000347 1
2454965.145795 0.999802 0.000347 1
2454965.166230 1.000357 0.000347 1
2454965.186664 1.000091 0.000347 1
2454965.207099 0.999283 0.000347 1
2454965.227533 0.999497 0.000347 1
2454965.247968 0.999812 0.000347 1
2454965.268402 0.999810 0.000347 1
2454965.288837 0.999379 0.000347 1
2454965.309271 0.998925 0.000347 1
2454965.329706 0.999280 0.000347 1
2454965.350140 0.998677 0.000347 1
2454965.370575 0.999353 0.000347 1
2454965.391009 0.998912 0.000347 1
2454965.411444 0.999237 0.000347 1
2454965.431878 0.998437 0.000347 1
2454965.452313 0.998944 0.000347 1
2454965.472747 0.998706 0.000347 1
2454965.493182 0.999385 0.000347 1
2454965.513616 0.998526 0.000347 1
2454965.534051 0.998814 0.000347 1
2454965.554485 0.999110 0.000347 1
2454965.574920 0.999542 0.000347 1
2454965.595354 0.998545 0.000347 1
2454965.615789 0.998772 0.000347 1
2454965.636223 0.998315 0.000347 1
2454965.656658 0.998742 0.000347 1
2454965.677092 0.998665 0.000347 1
2454965.697527 0.998136 0.000347 1
2454965.717961 0.998611 0.000347 1
2454965.738396 0.997942 0.000347 1
2454965.758830 0.997796 0.000347 1
2454965.779265 0.997650 0.000347 1
2454965.799699 0.997640 0.000347 1
2454965.820134 0.998580 0.000347 1
2454965.840568 0.998048 0.000347 1
2454965.861003 0.998302 0.000347 1
2454965.881437 0.997919 0.000347 1
2454965.901872 0.998662 0.000347 1
2454965.922306 0.998596 0.000347 1
2454965.942741 0.997288 0.000347 1
2454965.963175 0.997643 0.000347 1
2454965.983610 0.997892 0.000347 1
2454966.004044 0.997773 0.000347 1
2454966.024479 0.996838 0.000347 1
2454966.044913 0.997446 0.000347 1
2454966.065348 0.996993 0.000347 1
2454966.085782 0.997395 0.000347 1
2454966.106217 0.996662 0.000347 1
2454966.126651 0.998103 0.000347 1
2454966.147086 0.997772 0.000347 1
2454966.167520 0.996760 0.000347 1
2454966.187955 0.997560 0.000347 1
2454966.208389 0.996683 0.000347 1
2454966.228824 0.997247 0.000347 1
2454966.249258 0.997566 0.000347 1
2454966.269693 0.997142 0.000347 1
2454966.290127 0.996992 0.000347 1
2454966.310562 0.997303 0.000347 1
2454966.330996 0.997070 0.000347 1
2454966.351431 0.997136 0.000347 1
2454966.371865 0.997214 0.000347 1
2454966.392300 0.997161 0.000347 1
2454966.412734 0.997436 0.000347 1
2454966.433169 0.996921 0.000347 1
2454966.453603 0.996866 0.000347 1
2454966.474037 0.996831 0.000347 1
2454966.494472 0.997462 0.000347 1
2454966.514907 0.996727 0.000347 1
2454966.535341 0.995860 0.000347 1
2454966.555776 0.996675 0.000347 1
2454966.576210 0.996218 0.000347 1
2454966.596644 0.996572 0.000347 1
2454966.617079 0.996254 0.000347 1
2454966.637514 0.996298 0.000347 1
2454966.657948 0.997442 0.000347 1
2454966.678382 0.996749 0.000347 1
2454966.698817 0.997438 0.000347 1
2454966.719252 0.997056 0.000347 1
2454966.739686 0.995878 0.000347 1
2454966.760120 0.995897 0.000347 1
2454966.780555 0.997140 0.000347 1
2454966.800989 0.996113 0.000347 1
2454966.821424 0.996065 0.000347 1
2454966.841858 0.995696 0.000347 1
2454966.862293 0.996514 0.000347 1
2454966.882727 0.996036 0.000347 1
2454966.903162 0.995057 0.000347 1
2454966.923596 0.996393 0.000347 1
2454966.944031 0.996267 0.000347 1
2454966.964465 0.995665 0.000347 1
2454966.984900 0.995665 0.000347 1
2454967.005334 0.995923 0.000347 1
2454967.025769 0.995825 0.000347 1
2454967.046203 0.995378 0.000347 1
2454967.066638 0.995805 0.000347 1
2454967.087072 0.995724 0.000347 1
2454967.107507 0.995721 0.000347 1
2454967.127941 0.995828 0.000347 1
2454967.148376 0.995253 0.000347 1
2454967.168810 0.996017 0.000347 1
2454967.189245 0.995436 0.000347 1
2454967.209679 0.995422 0.000347 1
2454967.230114 0.995686 0.000347 1
2454967.250548 0.997478 0.000347 1
2454967.270983 0.995532 0.000347 1
2454967.291417 0.995941 0.000347 1
2454967.311852 0.995150 0.000347 1
2454967.332286 0.995188 0.000347 1
2454967.352721 0.994952 0.000347 1
2454967.373155 0.995565 0.000347 1
2454967.414024 0.995475 0.000347 1
2454967.434459 0.995111 0.000347 1
2454967.454893 0.995674 0.000347 1
2454967.475328 0.995793 0.000347 1
2454967.495762 0.994730 0.000347 1
2454967.516197 0.994192 0.000346 1
2454967.536631 0.995559 0.000347 1
2454967.557066 0.995263 0.000347 1
2454967.577500 0.994211 0.000347 1
2454967.597935 0.994828 0.000347 1
2454967.618369 0.994801 0.000347 1
2454967.638804 0.994296 0.000346 1
2454967.659238 0.994489 0.000346 1
2454967.679673 0.995448 0.000347 1
2454967.700107 0.995950 0.000347 1
2454967.720542 0.994418 0.000346 1
2454967.740976 0.994883 0.000347 1
2454967.761411 0.994123 0.000346 1
2454967.781845 0.994532 0.000346 1
2454967.802280 0.994293 0.000346 1
2454967.822714 0.994620 0.000346 1
2454967.843148 0.994689 0.000346 1
2454967.863583 0.995014 0.000347 1
2454967.884018 0.994571 0.000346 1
2454967.904452 0.994553 0.000347 1
2454967.924886 0.993760 0.000346 1
2454967.945321 0.994487 0.000346 1
2454967.965756 0.995007 0.000347 1
2454967.986190 0.995650 0.000347 1
2454968.006625 0.994403 0.000346 1
2454968.027059 0.994423 0.000346 1
2454968.047493 0.995496 0.000347 1
2454968.067928 0.995119 0.000347 1
2454968.088362 0.994552 0.000346 1
2454968.108797 0.994894 0.000346 1
2454968.129231 0.994717 0.000346 1
2454968.149666 0.994914 0.000346 1
2454968.170100 0.994687 0.000346 1
2454968.190535 0.994428 0.000346 1
2454968.210969 0.994699 0.000347 1
2454968.231404 0.994855 0.000346 1
2454968.251838 0.994714 0.000346 1
2454968.272273 0.994251 0.000346 1
