# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2458216.471464 0.678002 2.400262 2.114749
2458216.472123 0.542611 2.559470 1.938461
2458216.472781 0.406689 -1.494144 1.822590
2458216.473555 0.245926 0.063588 1.683176
2458216.474302 0.089945 1.399270 1.464766
2458216.474960 -0.048070 0.851584 1.365489
2458216.475709 -0.205806 1.044123 1.263800
2458216.476368 -0.345093 -1.267240 1.162679
2458216.477029 -0.485225 -0.538719 1.094036
2458216.477689 -0.625513 0.525758 1.023266
2458216.478438 -0.785096 -0.655872 0.953913
2458216.479099 -0.926207 -1.826141 0.886546
2458216.479757 -1.066881 -0.969696 0.848679
2458216.480417 -1.208133 -1.394455 0.795211
2458216.481168 -1.368977 -1.250335 0.759613
2458216.481825 -1.509731 -1.348911 0.721604
2458216.482484 -1.650897 -1.771950 0.701607
2458216.483143 -1.791993 -2.257754 0.679766
2458216.483802 -1.932964 -3.535893 0.662889
2458216.484461 -2.073758 -1.799142 0.649983
2458216.485121 -2.214533 -1.535724 0.631971
2458216.485869 -2.373731 -2.263787 0.624596
2458216.486528 -2.513617 -2.091465 0.614385
2458216.487186 -2.652887 -2.948530 0.608854
2458216.487847 -2.792334 -1.863673 0.607435
2458216.488597 -2.949933 -2.269639 0.599068
2458216.489255 -3.087592 -4.398271 0.590984
2458216.489914 -3.224833 -3.300070 0.588573
2458216.490575 -3.361801 -3.698247 0.584318
2458216.491234 -3.497617 -4.409475 0.582332
2458216.491893 -3.632643 -3.631705 0.577227
2458216.492641 -3.784882 -3.337373 0.580063
2458216.493301 -3.918240 -3.499472 0.574532
2458216.493960 -4.050430 -4.232089 0.575383
2458216.494619 -4.181606 -3.867241 0.572972
2458216.495279 -4.311910 -3.935417 0.574532
2458216.495941 -4.441479 -4.590722 0.572688
2458216.496600 -4.569283 -4.416717 0.572972
2458216.497260 -4.696049 -5.434156 0.571412
2458216.497919 -4.821343 -5.447798 0.572121
2458216.498578 -4.945303 -4.820686 0.572688
2458216.499345 -5.087820 -5.295787 0.566732
2458216.500004 -5.208711 -5.269494 0.562902
2458216.500663 -5.328104 -5.201223 0.564462
2458216.501324 -5.446304 -4.655491 0.567015
2458216.501984 -5.562720 -5.207644 0.568150
2458216.502735 -5.693168 -5.930580 0.566164
2458216.503390 -5.805132 -5.669713 0.566732
2458216.504049 -5.916030 -5.728109 0.568008
2458216.504708 -6.025124 -5.387182 0.568150
2458216.505369 -6.132689 -5.690552 0.566448
2458216.506121 -6.252728 -6.126445 0.563895
2458216.506784 -6.356451 -6.397034 0.569143
2458216.507447 -6.458147 -5.385606 0.565597
2458216.508201 -6.571296 -6.542023 0.563612
2458216.508865 -6.668645 -6.074089 0.564888
2458216.509527 -6.763532 -7.430959 0.566873
2458216.510190 -6.856349 -6.862008 0.561059
2458216.510853 -6.946905 -6.882527 0.564037
2458216.511511 -7.034501 -6.522951 0.564037
