# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2458216.471464 -1.623557 -3.987564 1.897926
2458216.472123 -1.780981 -3.276425 1.739712
2458216.472781 -1.938106 -4.702918 1.635722
2458216.473555 -2.122770 -3.233750 1.510602
2458216.474302 -2.300745 -0.478398 1.314585
2458216.474960 -2.457240 -3.365582 1.225487
2458216.475709 -2.634988 -3.573387 1.134224
2458216.476368 -2.790964 -2.534808 1.043471
2458216.477029 -2.946960 -3.014912 0.981866
2458216.477689 -3.102206 -4.595230 0.918351
2458216.478438 -3.277689 -2.299867 0.856109
2458216.479099 -3.431871 -2.634740 0.795650
2458216.479757 -3.584653 -3.777808 0.761665
2458216.480417 -3.737131 -3.276289 0.713679
2458216.481168 -3.909620 -3.842757 0.681731
2458216.481825 -4.059577 -3.912344 0.647619
2458216.482484 -4.209038 -5.162360 0.629672
2458216.483143 -4.357486 -4.177968 0.610070
2458216.483802 -4.504856 -4.120713 0.594924
2458216.484461 -4.651089 -4.332402 0.583341
2458216.485121 -4.796347 -4.624810 0.567176
2458216.485869 -4.959454 -4.342842 0.560557
2458216.486528 -5.101747 -5.591889 0.551393
2458216.487186 -5.242440 -5.769908 0.546428
2458216.487847 -5.382328 -4.589025 0.545156
2458216.488597 -5.539221 -4.298229 0.537646
2458216.489255 -5.675209 -6.098179 0.530391
2458216.489914 -5.809783 -6.247647 0.528227
2458216.490575 -5.943073 -6.119992 0.524408
2458216.491234 -6.074215 -5.815936 0.522626
2458216.491893 -6.203563 -6.069462 0.518044
2458216.492641 -6.348143 -6.708471 0.520590
2458216.493301 -6.473671 -6.426931 0.515626
2458216.493960 -6.597037 -6.398584 0.516390
2458216.494619 -6.718372 -7.396988 0.514226
2458216.495279 -6.837811 -6.218174 0.515626
2458216.495941 -6.955466 -7.134290 0.513971
2458216.496600 -7.070401 -7.210244 0.514226
2458216.497260 -7.183270 -6.524300 0.512826
2458216.497919 -7.293682 -8.534261 0.513462
2458216.498578 -7.401757 -6.802757 0.513971
2458216.499345 -7.524534 -7.150335 0.508625
2458216.500004 -7.627372 -7.558358 0.505189
2458216.500663 -7.727718 -7.624745 0.506589
2458216.501324 -7.825816 -8.463748 0.508880
2458216.501984 -7.921169 -8.225735 0.509898
2458216.502735 -8.026459 -8.088543 0.508116
2458216.503390 -8.115429 -8.460347 0.508625
2458216.504049 -8.202222 -7.454354 0.509771
2458216.504708 -8.286242 -8.836602 0.509898
2458216.505369 -8.367689 -8.469595 0.508371
2458216.506121 -8.456857 -8.964427 0.506080
2458216.506784 -8.532321 -8.686269 0.510789
2458216.507447 -8.604804 -8.232011 0.507607
2458216.508201 -8.683574 -9.142302 0.505825
2458216.508865 -8.749660 -8.505348 0.506971
2458216.509527 -8.812447 -8.119228 0.508753
2458216.510190 -8.872180 -8.763751 0.503534
2458216.510853 -8.928741 -9.394484 0.506207
2458216.511511 -8.981702 -8.778416 0.506207
2458216.512265 -9.038477 -9.242934 0.507734
2458216.512932 -9.085168 -9.108164 0.503025
2458216.513596 -9.128326 -9.622976 0.506334
2458216.514260 -9.168129 -9.728841 0.507480
2458216.514920 -9.204337 -9.256836 0.508498
2458216.515584 -9.237376 -9.519754 0.501243
2458216.516241 -9.266690 -8.919057 0.504679
2458216.516901 -9.292737 -9.451277 0.503534
2458216.517563 -9.315413 -9.880718 0.503534
2458216.518227 -9.334666 -10.095067 0.502770
2458216.518888 -9.350336 -9.277836 0.506716
2458216.519551 -9.362531 -10.233398 0.501625
2458216.520304 -9.372068 -9.520622 0.503534
2458216.520966 -9.376653 -9.278248 0.505061
2458216.521627 -9.377668 -9.298447 0.506207
2458216.522291 -9.375090 -9.363155 0.503534
2458216.522953 -9.368916 -9.700834 0.500479
2458216.523614 -9.359150 -9.432842 0.499079
2458216.524275 -9.345776 -9.779217 0.504679
2458216.524939 -9.328698 -9.307616 0.505061
2458216.525604 -9.307927 -9.016902 0.506461
2458216.526266 -9.283583 -8.617566 0.504298
2458216.526932 -9.255411 -8.431563 0.500352
2458216.527597 -9.223593 -9.263182 0.501243
2458216.528258 -9.188312 -9.785383 0.500097
