# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7 C2m=8 C2m=9 C2m=10
0.001000 0.004655 0.000021 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001072 0.004976 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001150 0.005297 0.000028 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001233 0.005726 0.000033 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001322 0.006154 0.000038 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001417 0.006582 0.000043 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001520 0.007010 0.000049 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001630 0.007544 0.000057 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001748 0.008079 0.000065 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.001874 0.008720 0.000076 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002009 0.009363 0.000087 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002154 0.010003 0.000100 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002310 0.010752 0.000115 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002477 0.011500 0.000132 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002656 0.012359 0.000152 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002848 0.013214 0.000174 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.003054 0.014176 0.000200 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.003275 0.015248 0.000232 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.003511 0.016317 0.000266 0.000004 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
