# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7 D2m=8 D2m=9 D2m=10
0.001036 1.914588 2.101080 nan nan nan nan nan nan nan
0.001110 1.925677 4.914987 nan nan nan nan nan nan nan
0.001191 1.966953 1.533094 nan nan nan nan nan nan nan
0.001277 1.911078 2.473837 nan nan nan nan nan nan nan
0.001369 1.985115 3.127949 nan nan nan nan nan nan nan
0.001468 2.018155 2.329175 nan nan nan nan nan nan nan
0.001574 1.992499 3.005655 nan nan nan nan nan nan nan
0.001688 2.037763 3.504603 inf nan nan nan nan nan nan
0.001810 1.993794 3.122000 0.000000 nan nan nan nan nan nan
0.001940 1.991463 3.499762 0.000000 nan nan nan nan nan nan
0.002081 2.002105 2.888979 5.811012 nan nan nan nan nan nan
0.002231 2.048051 3.484133 4.122978 nan nan nan nan nan nan
0.002392 2.038554 3.198030 9.933990 nan nan nan nan nan nan
0.002565 2.035103 3.251826 5.811012 nan nan nan nan nan nan
0.002750 2.043126 2.777994 4.122978 nan nan nan nan nan nan
0.002949 1.976131 3.046028 3.198030 nan nan nan nan nan nan
0.003162 1.996704 3.481326 4.822225 nan nan nan nan nan nan
0.003391 1.989535 3.081270 3.601767 inf nan nan nan nan nan
0.003636 1.975976 3.234184 5.543121 0.000000 nan nan nan nan nan
0.003899 1.995644 3.030298 3.571690 9.933990 nan nan nan nan nan
0.004180 2.021218 3.068852 4.332204 0.000000 nan nan nan nan nan
0.004482 2.014421 3.128369 6.119232 9.933990 nan nan nan nan nan
0.004806 1.982988 3.031542 4.274638 3.198030 inf nan nan nan nan
0.005154 2.006793 2.912193 2.985254 8.423993 0.000000 nan nan nan nan
0.005526 1.997556 3.001715 3.844684 2.875956 0.000000 nan nan nan nan
0.005926 1.970758 2.952834 4.262801 5.370001 0.000000 nan nan nan nan
0.006354 1.998366 3.006427 3.877386 5.201059 0.000000 nan nan nan nan
0.006813 1.997453 2.975448 3.902332 4.277917 0.000000 nan nan nan nan
0.007305 1.990255 2.971433 4.208631 5.964293 0.000000 nan nan nan nan
0.007833 2.012172 2.950401 3.522851 3.736655 0.000000 nan nan nan nan
0.008399 1.996018 3.018841 3.852308 4.585332 19.867980 nan nan nan nan
0.009006 2.005186 2.992769 4.241840 6.368736 9.933990 nan nan nan nan
0.009657 1.999593 3.032811 3.595811 4.633440 3.198030 nan nan nan nan
0.010355 1.994588 2.952151 3.757323 4.571185 4.822225 nan nan nan nan
0.011103 1.991697 2.982299 4.077782 4.838661 6.477723 nan nan nan nan
0.011906 1.995546 3.008189 3.981957 4.804615 5.811012 inf nan nan nan
0.012766 1.987038 3.005726 3.969586 5.292701 6.790144 19.867980 nan nan nan
0.013689 1.994316 2.962544 3.892408 4.641289 7.428767 9.933990 inf nan nan
0.014678 1.999107 2.978907 4.107783 4.974547 6.389618 9.009042 0.000000 nan nan
0.015739 1.993556 2.976810 3.950909 5.257349 5.427881 9.448122 23.066010 inf nan
0.016876 1.991533 2.965778 3.917548 4.867355 6.159732 6.920095 9.933990 9.933990 nan
0.018096 1.999319 2.973801 3.982861 5.156242 5.872128 4.646911 2.612981 5.811012 nan
0.019403 1.986341 2.962263 3.916801 5.003809 5.544272 4.822225 0.000000 0.000000 nan
0.020806 1.989106 2.960169 3.979630 4.985458 6.299640 6.071122 4.991833 0.000000 nan
0.022309 1.988545 2.954233 3.931032 4.927096 6.127747 7.279707 9.065135 7.321009 inf
0.023921 1.985688 2.939307 3.913347 4.880875 5.761617 6.358787 6.679867 2.612981 0.000000
0.025650 1.982951 2.933851 3.920114 4.912989 5.899993 6.510258 7.654320 7.321009 0.000000
0.027504 1.982946 2.924331 3.852789 4.779745 6.075950 7.516821 7.419509 9.198869 9.933990
0.029492 1.981855 2.916644 3.874789 4.885404 5.908278 7.179690 8.489285 10.306263 15.745001
0.031623 1.974218 2.910374 3.864004 4.774613 5.609600 6.990897 8.020256 9.179515 11.081139
0.033908 1.967268 2.895024 3.813516 4.835845 5.730557 6.422974 7.958079 8.616368 9.371890
0.036359 1.965586 2.871218 3.802470 4.781661 5.730991 6.401890 7.345912 10.144754 9.047209
0.038986 1.958614 2.858797 3.771941 4.688193 5.633344 6.817326 7.799196 8.904047 10.963376
0.041803 1.955214 2.829959 3.746078 4.662576 5.668498 6.484275 7.625911 8.028282 9.131496
0.044824 1.948933 2.811838 3.697484 4.617047 5.554675 6.517392 7.553194 8.824906 9.745163
0.048064 1.943449 2.785998 3.664327 4.570820 5.501478 6.447503 7.412555 8.849202 9.952985
0.051537 1.936184 2.761564 3.608677 4.509239 5.410244 6.326087 7.340441 8.309234 9.981367
0.055262 1.926991 2.731264 3.562628 4.425982 5.351978 6.301132 7.240451 8.370940 9.700328
0.059255 1.919050 2.689925 3.507979 4.358120 5.248556 6.142149 7.119800 8.045057 9.282380
0.063538 1.908185 2.654826 3.444328 4.275070 5.145224 6.038941 6.910260 7.830762 8.678045
0.068129 1.899025 2.617788 3.378321 4.185429 5.009064 5.880226 6.800304 7.674014 8.622164
0.073053 1.885813 2.574318 3.300593 4.075924 4.891123 5.746164 6.590877 7.527377 8.532251
0.078332 1.874303 2.526596 3.214763 3.958834 4.767667 5.579892 6.452625 7.364026 8.245438
0.083993 1.860871 2.475923 3.134970 3.840562 4.611458 5.422182 6.228700 7.067171 7.960931
0.090063 1.848546 2.425927 3.045570 3.721421 4.441627 5.223657 6.032803 6.874750 7.715694
0.096571 1.834155 2.373674 2.949126 3.584865 4.273793 5.009605 5.782759 6.587750 7.444998
0.103550 1.819990 2.319480 2.847184 3.435301 4.090645 4.784687 5.509914 6.278640 7.066211
0.111034 1.804845 2.268205 2.751342 3.288765 3.892315 4.554159 5.260403 5.988224 6.763431
0.119058 1.789526 2.217042 2.657887 3.142786 3.689431 4.302076 4.956169 5.650530 6.385336
0.127662 1.775024 2.169075 2.564645 3.003596 3.493204 4.045318 4.647641 5.304060 5.996293
0.136887 1.758889 2.124253 2.479849 2.868120 3.306490 3.801215 4.342586 4.924632 5.560349
0.146780 1.742732 2.081925 2.401149 2.738244 3.121434 3.559502 4.041175 4.574157 5.154788
0.157387 1.725346 2.043281 2.334027 2.627057 2.957694 3.334788 3.753767 4.217398 4.728376
0.168761 1.706223 2.007018 2.273138 2.529083 2.808610 3.129465 3.488601 3.880874 4.327686
0.180957 1.685962 1.972998 2.222019 2.444495 2.684784 2.953773 3.254322 3.586259 3.967210
0.194034 1.665105 1.940357 2.179024 2.374605 2.580708 2.807693 3.054225 3.326698 3.633675
0.208057 1.641316 1.907773 2.140898 2.320750 2.498916 2.691076 2.893113 3.111349 3.360508
0.223092 1.614832 1.874450 2.105423 2.274292 2.435893 2.601550 2.769431 2.945414 3.144367
0.239215 1.586272 1.837562 2.069489 2.237735 2.388731 2.533539 2.675693 2.820975 2.972897
0.256502 1.555009 1.795810 2.026256 2.204819 2.353461 2.486648 2.615393 2.738877 2.860355
0.275039 1.521514 1.749986 1.974588 2.170010 2.323611 2.453074 2.573400 2.686015 2.787190
0.294915 1.487212 1.698951 1.910256 2.127771 2.291305 2.424174 2.547143 2.652253 2.742095
0.316228 1.453747 1.646687 1.835864 2.073593 2.250150 2.396370 2.528390 2.635758 2.720268
0.339081 1.422531 1.594907 1.754925 2.002840 2.194227 2.360302 2.508924 2.625672 2.711556
0.363585 1.396486 1.548455 1.674110 1.916573 2.118068 2.307309 2.476156 2.613002 2.713407
0.389860 1.371919 1.510985 1.605811 1.820552 2.018411 2.228460 2.418756 2.583680 2.708134
0.418034 1.342184 1.482285 1.554899 1.724746 1.903454 2.120923 2.325189 2.518428 2.673985
0.448245 1.297687 1.461378 1.525436 1.639879 1.783942 1.991281 2.196034 2.408401 2.592891
0.480638 1.228596 1.445418 1.513746 1.575344 1.672589 1.846093 2.037930 2.249665 2.447576
0.515372 1.126693 1.423946 1.516079 1.538052 1.584794 1.707568 1.866796 2.055400 2.244521
0.552617 0.989706 1.376057 1.528258 1.529744 1.534584 1.601340 1.712360 1.853852 2.014555
0.592553 0.828175 1.284091 1.537177 1.544873 1.525355 1.542752 1.603215 1.693589 1.810467
0.635375 0.653593 1.146982 1.516656 1.563512 1.548168 1.532254 1.544210 1.591253 1.667212
0.681292 0.467143 0.979930 1.435679 1.564121 1.583324 1.553434 1.529376 1.538977 1.583416
0.730527 0.272737 0.785976 1.294837 1.529495 1.614858 1.589992 1.549842 1.522319 1.540739
0.783320 0.110751 0.576970 1.116354 1.458643 1.636857 1.639230 1.600441 1.536870 1.528860
0.839929 0.024531 0.384001 0.901634 1.337064 1.633704 1.708009 1.676609 1.587979 1.549751
0.900628 0.002126 0.226692 0.645743 1.114787 1.523440 1.752326 1.766062 1.687311 1.610714
0.965714 0.000044 0.106443 0.364017 0.804386 1.254118 1.624850 1.798148 1.820062 1.716789
