# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 1.971393 7.887554 nan nan nan nan
0.001110 2.029171 6.610425 nan nan nan nan
0.001191 1.946944 4.475841 nan nan nan nan
0.001277 1.993554 4.207305 nan nan nan nan
0.001369 1.991115 4.474069 nan nan nan nan
0.001468 1.999245 3.731702 inf nan nan nan
0.001574 2.033263 3.716284 20.545195 nan nan nan
0.001688 2.019972 3.021292 7.988723 inf nan nan
0.001810 1.971918 3.554087 6.123262 12.939645 nan nan
0.001940 1.828240 4.365351 7.246687 8.509812 nan nan
0.002081 1.894921 3.185931 5.399466 5.004410 nan nan
0.002231 1.876949 2.768561 3.584716 5.141905 nan nan
0.002392 1.900986 2.665080 3.070068 4.254102 nan nan
0.002565 1.914386 2.469080 2.509063 3.826245 nan nan
0.002750 1.933852 2.563184 3.813976 4.025202 nan nan
0.002949 1.931754 2.820222 4.604022 6.220198 inf inf
0.003162 1.923825 2.425316 3.789315 5.399309 9.655695 12.077036
0.003391 1.943231 2.296972 3.576598 5.215055 6.662324 7.321009
0.003636 1.956180 2.104211 3.310567 4.983190 4.646911 6.357792
0.003899 2.022172 2.109648 3.067908 3.459442 3.773514 4.914987
0.004180 2.007595 2.436105 2.568863 2.880189 3.249663 4.571404
0.004482 2.036142 2.656131 2.561659 2.634127 3.095294 6.711228
0.004806 2.023673 2.737596 2.359937 2.544142 3.071455 5.324291
0.005154 2.095728 2.649078 2.327188 2.483382 2.234319 4.479156
0.005526 2.211295 2.586272 2.706802 2.604920 3.622849 4.010130
0.005926 2.182208 3.122201 2.839506 3.125273 3.571013 2.811439
0.006354 2.181380 3.322811 3.537519 3.442812 3.711234 2.787153
0.006813 2.060782 3.062480 3.334244 4.136455 4.575075 3.300512
0.007305 1.967272 2.685548 3.075333 3.433418 4.137410 3.244130
0.007833 1.984911 2.585133 3.522620 2.793979 3.538338 3.733338
0.008399 1.971177 2.747682 3.322840 3.039181 3.477534 5.732841
0.009006 1.906983 2.345696 3.338196 4.193051 3.165549 4.214395
0.009657 1.906732 2.228877 2.661632 3.793900 3.904576 3.616645
0.010355 1.967147 2.193923 2.495827 3.349342 3.716928 3.246481
0.011103 2.015272 2.336025 2.401314 2.626499 3.876562 5.217664
0.011906 1.975728 2.308130 2.317974 2.623559 2.788574 4.030739
0.012766 2.003869 2.392359 2.247922 2.358810 2.829205 2.629084
0.013689 1.971016 2.345821 2.267440 2.359894 2.865192 2.847816
0.014678 1.907135 2.304225 2.312267 2.060412 2.457162 3.014642
0.015739 1.944123 2.248476 2.460361 2.481633 2.200886 2.436143
0.016876 1.862812 2.274385 2.348011 2.442199 2.229602 2.113604
0.018096 1.926285 2.220036 2.483851 2.582543 2.467065 2.251602
0.019403 1.882264 2.193413 2.345208 2.424712 2.613205 2.772308
0.020806 1.884698 2.142916 2.188827 2.392913 2.383241 2.544828
0.022309 1.903631 2.142635 2.234335 2.331846 2.629436 2.574131
0.023921 1.893754 2.132498 2.010676 2.233277 2.355036 2.634892
0.025650 1.862806 2.141621 2.229441 2.210490 2.295449 2.433799
0.027504 1.901796 2.188261 2.097275 2.069492 2.271411 2.393318
0.029492 1.867386 2.136705 2.145375 2.090440 1.948491 2.129852
0.031623 1.858885 2.113326 2.140576 2.219129 2.276814 2.114662
0.033908 1.889085 2.148627 2.155964 2.190673 2.122757 2.061786
0.036359 1.849693 2.137081 2.107949 2.059735 2.243404 2.261654
0.038986 1.868692 2.119802 2.161338 2.143073 2.054903 2.244921
0.041803 1.861387 2.133249 2.100740 2.188473 2.173920 2.091531
0.044824 1.856647 2.118131 2.085794 2.085029 2.153564 2.069925
0.048064 1.849130 2.134311 2.155209 2.111027 2.118808 2.276021
0.051537 1.829777 2.128073 2.081437 2.118022 2.077865 2.119135
0.055262 1.830809 2.135690 2.115217 2.098706 2.100570 2.050441
0.059255 1.810827 2.132844 2.126495 2.125624 2.153352 2.142740
0.063538 1.802645 2.148503 2.127703 2.103047 2.097134 2.106638
0.068129 1.790279 2.137526 2.156250 2.127297 2.103932 2.110926
0.073053 1.778627 2.142775 2.139417 2.120951 2.130624 2.107466
0.078332 1.770138 2.146507 2.178636 2.133866 2.100781 2.107072
0.083993 1.755641 2.148872 2.183896 2.129208 2.138545 2.111389
0.090063 1.748018 2.146446 2.210937 2.149661 2.103351 2.134945
0.096571 1.736278 2.152142 2.240392 2.160121 2.128087 2.126814
0.103550 1.727790 2.157462 2.302615 2.163063 2.123959 2.100474
0.111034 1.724104 2.168907 2.436921 2.189950 2.123619 2.145349
0.119058 1.715624 2.187667 2.548801 2.224090 2.139132 2.114179
0.127662 1.711832 2.123486 2.699456 2.309253 2.139023 2.120325
0.136887 1.702892 2.031489 2.576797 2.376015 2.142867 2.135705
0.146780 1.691468 1.964988 2.431540 2.384046 2.146268 2.116753
0.157387 1.682140 1.913164 2.298857 2.378066 2.160277 2.129159
0.168761 1.675408 1.870200 2.177693 2.376163 2.186988 2.131326
0.180957 1.666913 1.835038 2.090286 2.364328 2.221897 2.150051
