# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7 D2m=8 D2m=9 D2m=10
0.001036 2.041229 2.430076 nan nan nan nan nan nan nan
0.001110 2.028659 2.414386 nan nan nan nan nan nan nan
0.001191 2.009070 1.774184 nan nan nan nan nan nan nan
0.001277 2.007567 3.237242 nan nan nan nan nan nan nan
0.001369 2.001056 2.961137 inf nan nan nan nan nan nan
0.001468 1.977295 2.181920 9.933990 nan nan nan nan nan nan
0.001574 1.988246 3.393614 5.811012 nan nan nan nan nan nan
0.001688 2.018242 2.919059 4.122978 nan nan nan nan nan nan
0.001810 1.968908 2.512862 3.198030 nan nan nan nan nan nan
0.001940 2.009458 3.565605 2.612981 nan nan nan nan nan nan
0.002081 1.976610 3.151873 2.209244 nan nan nan nan nan nan
0.002231 2.013041 3.246031 7.724746 nan nan nan nan nan nan
0.002392 2.024336 3.055779 5.811012 nan nan nan nan nan nan
0.002565 2.028836 3.200413 8.245957 inf nan nan nan nan nan
0.002750 1.970977 3.021614 5.811012 9.933990 nan nan nan nan nan
0.002949 1.988286 3.016289 2.462909 0.000000 nan nan nan nan nan
0.003162 1.992824 2.996527 2.101080 0.000000 nan nan nan nan nan
0.003391 2.000048 2.959649 2.209244 0.000000 nan nan nan nan nan
0.003636 2.020883 3.117750 3.160757 0.000000 nan nan nan nan nan
0.003899 1.977685 2.967112 4.010572 5.811012 nan nan nan nan nan
0.004180 1.985769 2.964016 4.009684 4.122978 nan nan nan nan nan
0.004482 2.002957 2.963478 4.625897 5.811012 nan nan nan nan nan
0.004806 1.993753 2.980067 4.563989 9.933990 inf nan nan nan nan
0.005154 2.011670 3.056422 3.839397 4.122978 0.000000 nan nan nan nan
0.005526 2.004530 3.021728 4.097179 4.563989 0.000000 nan nan nan nan
0.005926 2.000974 2.988570 4.064759 3.959185 0.000000 nan nan nan nan
0.006354 2.005897 2.999681 3.471537 4.608846 0.000000 nan nan nan nan
0.006813 2.007105 3.031664 4.042624 4.301014 0.000000 nan nan nan nan
0.007305 1.996412 2.961002 4.097054 5.085200 15.745001 nan nan nan nan
0.007833 1.983716 2.964980 3.937994 5.370001 12.143234 inf nan nan nan
0.008399 2.007415 2.993433 3.999236 5.465652 7.724746 0.000000 inf nan nan
0.009006 2.002016 2.977609 3.802514 5.216249 4.122978 5.811012 0.000000 nan nan
0.009657 1.999737 2.937121 3.973509 4.497587 4.563989 0.000000 0.000000 nan nan
0.010355 1.996370 2.984771 3.892874 4.942157 6.238856 4.122978 0.000000 nan nan
0.011103 1.998669 3.030214 4.054548 4.495252 6.630190 5.811012 0.000000 nan nan
0.011906 2.001457 2.987663 3.917809 4.696999 4.122978 2.209244 0.000000 nan nan
0.012766 2.000347 2.990631 3.942239 4.781977 4.850633 3.601767 0.000000 nan nan
0.013689 1.997700 2.980169 3.949560 4.943638 5.182539 4.122978 0.000000 nan nan
0.014678 1.995623 2.991312 4.049995 4.966624 6.423709 8.020256 15.745001 nan nan
0.015739 1.990461 2.968486 4.000492 5.204672 5.362107 5.111765 4.122978 nan nan
0.016876 1.993986 2.972669 3.990885 5.063788 6.069248 5.811012 8.020256 inf nan
0.018096 1.982562 2.962158 3.967623 4.718696 6.185229 8.065681 6.477723 5.811012 nan
0.019403 1.992120 2.963116 3.963613 4.937113 5.860177 7.248259 8.568031 7.321009 nan
0.020806 1.987482 2.953274 3.948248 5.041665 5.737200 6.135517 5.811012 6.735959 nan
0.022309 1.984915 2.950527 3.939169 4.946922 6.240307 7.278164 4.122978 5.811012 inf
0.023921 1.986009 2.946168 3.915793 4.888453 5.814558 6.911876 8.621675 1.147150 0.000000
0.025650 1.977349 2.935366 3.910863 4.855023 5.744672 6.857960 7.360220 7.539818 0.000000
0.027504 1.977162 2.923131 3.893236 4.897187 5.614143 6.911360 7.714953 8.205184 19.867980
0.029492 1.975469 2.913001 3.874267 4.862808 5.853216 6.739760 7.183203 6.173859 3.198030
0.031623 1.971207 2.909955 3.850268 4.837432 5.896464 6.851074 8.191330 6.434228 9.933990
0.033908 1.965880 2.895153 3.845258 4.802558 5.744869 6.704021 7.595153 9.469137 14.756215
0.036359 1.961635 2.873552 3.805968 4.768594 5.763421 6.649307 7.992615 8.528604 9.933990
0.038986 1.957317 2.857950 3.780817 4.740545 5.726190 6.856084 7.903465 9.560002 11.959256
0.041803 1.951335 2.845081 3.753839 4.663162 5.563907 6.611291 7.467807 8.307120 9.482560
0.044824 1.944476 2.819188 3.715401 4.637602 5.624963 6.609405 7.577265 8.811268 9.585834
0.048064 1.936301 2.788687 3.678109 4.588899 5.556752 6.482676 7.575060 8.538297 9.667208
0.051537 1.928792 2.762788 3.636990 4.541548 5.473504 6.438998 7.507151 8.535998 9.593373
0.055262 1.918476 2.737487 3.581767 4.464775 5.376684 6.331548 7.326239 8.591188 9.482682
0.059255 1.906369 2.698595 3.533707 4.390569 5.278421 6.211555 7.098604 8.066194 9.455753
0.063538 1.895708 2.665169 3.470999 4.314160 5.185321 6.056902 6.991494 7.964983 8.909255
0.068129 1.882908 2.622802 3.404913 4.234438 5.084511 5.972806 6.866296 7.745980 8.608741
0.073053 1.867958 2.580623 3.333056 4.132107 4.976421 5.849491 6.719380 7.648886 8.613189
0.078332 1.853485 2.533513 3.252442 4.020804 4.825454 5.681392 6.584171 7.501987 8.426302
0.083993 1.837284 2.484448 3.172514 3.907781 4.694374 5.499561 6.342847 7.194843 8.104321
0.090063 1.819432 2.433594 3.081981 3.782495 4.527859 5.318636 6.140078 6.982332 7.802463
0.096571 1.801023 2.380432 2.987750 3.646167 4.356691 5.116066 5.910897 6.749944 7.615851
0.103550 1.779919 2.327279 2.894190 3.512633 4.184280 4.897035 5.648165 6.439009 7.272928
0.111034 1.760006 2.273047 2.799476 3.374592 3.999411 4.668716 5.387378 6.140630 6.917307
0.119058 1.738312 2.218039 2.702403 3.232061 3.812197 4.432357 5.094731 5.804766 6.554391
0.127662 1.715344 2.167157 2.607922 3.089333 3.620647 4.198185 4.817252 5.474618 6.170872
0.136887 1.691559 2.114722 2.518744 2.958329 3.435455 3.956979 4.522019 5.122647 5.762815
0.146780 1.666537 2.064495 2.432817 2.830780 3.258729 3.724842 4.234054 4.775450 5.353059
0.157387 1.640281 2.015580 2.353388 2.713533 3.095903 3.511618 3.958120 4.437157 4.953443
0.168761 1.612740 1.967342 2.277258 2.610713 2.950780 3.320827 3.717490 4.129826 4.567467
0.180957 1.582928 1.918076 2.206250 2.517576 2.822342 3.148947 3.501735 3.860280 4.235159
0.194034 1.550602 1.869661 2.138323 2.433127 2.711648 3.005672 3.318718 3.629970 3.942911
0.208057 1.512378 1.816814 2.071622 2.355911 2.614887 2.884287 3.171792 3.443076 3.710226
0.223092 1.469621 1.761930 2.002791 2.277908 2.523677 2.778911 3.050023 3.295065 3.527263
0.239215 1.419264 1.706474 1.936445 2.199854 2.436497 2.684041 2.947269 3.174368 3.387380
0.256502 1.358506 1.648150 1.873841 2.119494 2.347830 2.594102 2.859571 3.078181 3.279790
0.275039 1.286756 1.587680 1.814930 2.038301 2.255452 2.501652 2.769658 2.986515 3.186448
0.294915 1.201602 1.525017 1.764110 1.963695 2.164088 2.405125 2.672119 2.889954 3.089503
0.316228 1.102253 1.457061 1.720352 1.896674 2.076781 2.303060 2.562045 2.780957 2.981258
0.339081 0.989529 1.381274 1.680485 1.841976 2.000146 2.202415 2.442862 2.657073 2.852564
0.363585 0.865047 1.294052 1.638341 1.797852 1.937819 2.108599 2.321844 2.526124 2.713612
0.389860 0.731892 1.191427 1.583819 1.755121 1.887303 2.028163 2.210419 2.397538 2.570978
0.418034 0.595347 1.071318 1.509416 1.706579 1.848298 1.968063 2.115077 2.280519 2.439348
0.448245 0.462718 0.936422 1.408752 1.642398 1.810780 1.925946 2.038266 2.177389 2.326332
