# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.170476 2.885749 6.477723 nan nan nan
0.001110 2.144506 3.614814 4.445053 nan nan nan
0.001191 2.347891 3.415456 7.883109 inf inf nan
0.001277 2.214846 4.234928 11.123478 9.009042 15.745001 nan
0.001369 2.107449 4.479803 8.466207 3.387857 4.122978 nan
0.001468 2.153759 4.392092 6.893164 9.933990 4.563989 nan
0.001574 2.013901 3.992689 4.697601 13.867141 2.394172 nan
0.001688 2.079036 3.345602 5.258087 6.188184 5.438738 nan
0.001810 2.038634 3.408070 4.502755 6.117912 7.016067 nan
0.001940 2.070766 3.068083 4.350782 5.851440 9.464055 nan
0.002081 1.983576 2.833421 4.090795 4.263585 8.290673 nan
0.002231 1.991804 2.991325 4.085585 3.979848 5.676440 nan
0.002392 1.993587 2.696628 3.603236 4.404112 5.102748 inf
0.002565 1.952312 2.487072 3.283079 4.639714 5.705398 11.622023
0.002750 1.930515 2.548670 3.332258 4.291165 6.527747 9.704677
0.002949 1.972312 2.437613 3.127250 3.481836 5.383439 9.162324
0.003162 1.946643 2.463667 2.807381 3.459779 5.462048 6.582678
0.003391 1.941852 2.352769 2.462346 2.620337 2.809280 6.537140
0.003636 1.898508 2.313535 2.436128 3.364372 4.387556 5.523299
0.003899 1.919696 2.133190 2.312512 3.076114 4.038741 5.627162
0.004180 1.856130 1.995808 2.048033 2.648617 2.914133 3.076403
0.004482 1.864213 1.994962 1.930554 2.505315 3.290799 3.534253
0.004806 1.892382 1.897390 1.620762 1.605469 2.217781 2.954159
0.005154 1.907440 1.986619 1.799108 1.635888 1.646010 2.134254
0.005526 1.913093 2.020953 1.963178 2.129027 1.657884 1.575779
0.005926 1.895334 1.996262 1.941490 2.014343 1.683797 1.761372
0.006354 1.909193 1.955615 1.760133 1.749576 1.923618 2.222143
0.006813 1.929829 2.008748 1.802827 1.751857 1.588229 1.973312
0.007305 1.924707 2.050642 1.865775 1.819579 1.588840 1.679564
0.007833 1.940631 2.143884 1.895096 1.838683 1.709652 1.557101
0.008399 1.942515 2.110391 2.037137 1.885329 1.661781 1.566707
0.009006 1.957261 2.131171 2.018112 1.876856 1.896989 1.619627
