# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001036 2.375162 2.954282 3.082283 1.791363 2.629432 2.512759
0.001110 2.266472 2.833866 3.058208 2.684997 1.695136 1.332904
0.001191 2.160649 2.633040 3.096507 3.261631 2.631904 3.223464
0.001277 2.046646 2.391628 3.237905 4.111894 3.200732 2.365214
0.001369 2.144054 2.402651 2.803823 3.557007 3.979103 2.096770
0.001468 2.216704 2.475928 2.488896 3.227259 3.339744 3.028777
0.001574 2.172544 2.347117 2.551939 2.898030 3.553420 4.259436
0.001688 1.940825 2.236224 2.586360 2.822274 3.046963 3.913259
0.001810 1.807389 2.183738 2.409719 2.676033 3.177153 3.583962
0.001940 1.921455 2.073820 2.237082 2.218229 2.781047 3.638575
0.002081 1.956042 2.354212 2.209981 2.285772 2.322358 2.731883
0.002231 1.864163 2.131229 2.196600 2.530422 2.587709 2.336999
0.002392 1.860296 2.043052 2.155655 2.280312 2.570121 2.776807
0.002565 1.867821 2.000407 2.309791 2.128152 2.370559 2.624685
0.002750 1.872001 1.861624 2.075766 2.256154 2.077057 2.000226
0.002949 1.894762 1.983905 1.900104 2.140023 2.298551 2.366551
0.003162 1.831954 2.020453 2.012913 2.037981 2.128993 2.448281
0.003391 1.795757 1.917938 2.181539 2.253024 2.227893 2.298237
0.003636 1.882525 1.910656 2.054186 2.293895 2.459063 2.419993
0.003899 1.886409 1.916428 1.842700 1.983773 2.238302 2.408081
0.004180 1.871728 1.866176 1.814900 1.878768 2.033196 2.290349
0.004482 1.880261 1.883345 1.839510 1.803131 1.904040 2.122685
0.004806 1.871810 1.904384 1.935354 1.914196 1.796988 1.937784
0.005154 1.888517 1.894817 1.904544 2.000978 1.994378 1.880397
0.005526 1.866020 1.950041 1.903291 1.777979 2.028667 2.128729
0.005926 1.885394 1.962600 1.932660 1.906795 1.778220 1.845375
0.006354 1.873880 1.996985 1.958543 1.993484 1.925233 1.888802
0.006813 1.885227 2.011419 2.017644 1.950952 1.919269 1.854451
0.007305 1.851432 1.994347 1.999134 1.940292 1.970393 1.920661
0.007833 1.829653 1.924146 2.004690 1.903246 1.893185 1.883687
0.008399 1.830229 1.886147 1.996125 2.058575 1.939066 1.885026
0.009006 1.852690 1.903321 1.951513 2.012546 2.035467 2.069133
0.009657 1.842551 1.888644 1.937146 1.990425 1.994641 1.953097
0.010355 1.830912 1.864254 1.892089 1.935262 1.999933 1.982391
0.011103 1.845201 1.880754 1.883448 1.889098 1.958250 1.964112
0.011906 1.848023 1.894784 1.889194 1.878343 1.899559 1.952994
0.012766 1.819515 1.891255 1.862618 1.897974 1.898023 1.878427
0.013689 1.822869 1.895734 1.873729 1.866306 1.905097 1.928268
0.014678 1.828117 1.904244 1.899414 1.880082 1.889471 1.912292
0.015739 1.811935 1.884956 1.891287 1.885873 1.879548 1.918846
0.016876 1.799970 1.877693 1.901374 1.864036 1.892586 1.906366
0.018096 1.790696 1.860726 1.915792 1.885889 1.867584 1.904772
0.019403 1.788262 1.852109 1.908262 1.907836 1.873468 1.868458
0.020806 1.803909 1.842840 1.893869 1.903293 1.898771 1.889103
0.022309 1.805811 1.843340 1.872906 1.902888 1.896462 1.883150
0.023921 1.808116 1.850057 1.865309 1.893974 1.918366 1.869206
0.025650 1.820097 1.854976 1.868970 1.872205 1.902258 1.913730
0.027504 1.823443 1.860862 1.867290 1.878246 1.891670 1.905291
0.029492 1.839289 1.869696 1.863303 1.871131 1.891308 1.891908
0.031623 1.841367 1.882202 1.870538 1.875078 1.888415 1.908301
0.033908 1.853108 1.894930 1.875272 1.877765 1.884419 1.905870
0.036359 1.853009 1.911756 1.894777 1.883472 1.890386 1.901475
0.038986 1.851201 1.908364 1.897592 1.890633 1.890541 1.900098
0.041803 1.847391 1.920778 1.909294 1.904248 1.900377 1.891482
0.044824 1.835039 1.907650 1.920411 1.903666 1.909620 1.901000
0.048064 1.826036 1.903327 1.913705 1.917441 1.912940 1.900469
0.051537 1.813061 1.889472 1.914997 1.922964 1.923990 1.910548
0.055262 1.793011 1.879382 1.917135 1.916293 1.926590 1.919617
0.059255 1.765795 1.865481 1.911399 1.932565 1.924767 1.924645
0.063538 1.746921 1.857607 1.895810 1.916449 1.942518 1.930379
0.068129 1.748966 1.849191 1.893954 1.917940 1.927781 1.941276
0.073053 1.752984 1.849301 1.884738 1.907400 1.938756 1.934347
0.078332 1.754101 1.849742 1.883852 1.905913 1.924408 1.938679
0.083993 1.746117 1.852697 1.900831 1.898944 1.917753 1.930614
0.090063 1.725260 1.839416 1.909419 1.908935 1.903235 1.922115
0.096571 1.702078 1.826286 1.900907 1.917831 1.912424 1.921667
0.103550 1.675841 1.808127 1.903001 1.928318 1.922551 1.934881
0.111034 1.661738 1.796104 1.905151 1.946303 1.942842 1.945535
0.119058 1.651316 1.787858 1.896116 1.950717 1.982271 1.961940
0.127662 1.645376 1.779404 1.885917 1.947024 1.993420 1.990083
0.136887 1.644215 1.780760 1.875855 1.947554 1.989393 2.006801
0.146780 1.603538 1.777094 1.900629 1.970062 2.000658 2.030062
0.157387 1.553537 1.757607 1.904282 1.987597 2.019888 2.059526
0.168761 1.508548 1.720747 1.888319 2.009418 2.059374 2.094604
0.180957 1.468200 1.678136 1.848054 2.009945 2.085361 2.143376
0.194034 1.432671 1.654146 1.804191 1.987609 2.084882 2.202611
0.208057 1.404341 1.622409 1.766161 1.951043 2.064907 2.210314
0.223092 1.375397 1.593134 1.731995 1.894161 2.033967 2.207747
0.239215 1.334052 1.558521 1.710477 1.828461 1.972376 2.175641
0.256502 1.281621 1.515545 1.674752 1.775378 1.890416 2.090133
0.275039 1.211851 1.478717 1.642256 1.729966 1.816393 2.004486
0.294915 1.103651 1.420034 1.611302 1.696874 1.754450 1.918099
0.316228 0.970692 1.368355 1.596735 1.680761 1.718464 1.849924
0.339081 0.848927 1.305809 1.594931 1.695973 1.724061 1.811102
0.363585 0.739330 1.217129 1.576934 1.676909 1.752849 1.806709
0.389860 0.621623 1.103530 1.525426 1.661160 1.758068 1.811951
0.418034 0.508549 0.983686 1.414855 1.630579 1.751323 1.826012
0.448245 0.379320 0.819820 1.273327 1.576678 1.732848 1.835185
0.480638 0.291880 0.681592 1.145142 1.469199 1.725877 1.844007
0.515372 0.228561 0.559089 0.980083 1.331144 1.663984 1.826764
0.552617 0.188412 0.441465 0.804697 1.207537 1.565893 1.764814
0.592553 0.158618 0.335067 0.613968 0.999059 1.374278 1.647042
0.635375 0.126962 0.253679 0.443597 0.786164 1.179708 1.493881
0.681292 0.089382 0.189506 0.330750 0.595049 0.966580 1.340286
0.730527 0.047390 0.125346 0.233253 0.413309 0.661085 1.028961
0.783320 0.016863 0.067999 0.143583 0.262258 0.428194 0.689905
0.839929 0.001181 0.025864 0.068054 0.137716 0.236141 0.412864
0.900628 0.000000 0.007262 0.023592 0.055130 0.106018 0.200387
0.965714 0.000000 0.001278 0.004860 0.014361 0.036116 0.074535
